,CURRENT|6
6696,1.179199
6697,1.199707
6698,1.24585
6699,1.240723
6700,1.204834
6701,1.220215
6702,1.209961
6703,1.179199
6704,1.184326
6705,1.168945
6706,1.179199
6707,1.19458
6708,1.189453
6709,1.199707
6710,1.24585
6711,1.240723
6712,1.209961
6713,1.220215
6714,1.209961
6715,1.179199
6716,1.184326
6717,1.163818
6718,1.174072
6719,1.189453
6720,1.184326
6721,1.199707
6722,1.24585
6723,1.240723
6724,1.204834
6725,1.220215
6726,1.209961
6727,1.179199
6728,1.184326
6729,1.168945
6730,1.174072
6731,1.19458
6732,1.184326
6733,1.199707
6734,1.24585
6735,1.240723
6736,1.209961
6737,1.220215
6738,1.209961
6739,1.179199
6740,1.184326
6741,1.168945
6742,1.174072
6743,1.19458
6744,1.189453
6745,1.204834
6746,1.24585
6747,1.240723
6748,1.204834
6749,1.215088
6750,1.204834
6751,1.179199
6752,1.184326
6753,1.163818
6754,1.168945
6755,1.189453
6756,1.184326
6757,1.199707
6758,1.24585
6759,1.240723
6760,1.209961
6761,1.220215
6762,1.204834
6763,1.179199
6764,1.184326
6765,1.163818
6766,1.168945
6767,1.189453
6768,1.189453
6769,1.199707
6770,1.24585
6771,1.240723
6772,1.209961
6773,1.220215
6774,1.209961
6775,1.179199
6776,1.184326
6777,1.163818
6778,1.174072
6779,1.19458
6780,1.189453
6781,1.199707
6782,1.24585
6783,1.235596
6784,1.209961
6785,1.220215
6786,1.204834
6787,1.179199
6788,1.184326
6789,1.168945
6790,1.174072
6791,1.19458
6792,1.184326
6793,1.204834
6794,1.24585
6795,1.240723
6796,1.209961
6797,1.220215
6798,1.209961
6799,1.179199
6800,1.189453
6801,1.168945
6802,1.174072
6803,1.19458
6804,1.184326
6805,1.199707
6806,1.240723
6807,1.235596
6808,1.204834
6809,1.215088
6810,1.204834
6811,1.174072
6812,1.184326
6813,1.168945
6814,1.168945
6815,1.189453
6816,1.184326
6817,1.199707
6818,1.24585
6819,1.235596
6820,1.204834
6821,1.215088
6822,1.209961
6823,1.174072
6824,1.184326
6825,1.168945
6826,1.174072
6827,1.189453
6828,1.184326
6829,1.19458
6830,1.240723
6831,1.235596
6832,1.204834
6833,1.220215
6834,1.209961
6835,1.179199
6836,1.179199
6837,1.163818
6838,1.168945
6839,1.189453
6840,1.189453
6841,1.199707
6842,1.24585
6843,1.240723
6844,1.204834
6845,1.220215
6846,1.209961
6847,1.179199
6848,1.184326
6849,1.168945
6850,1.174072
6851,1.189453
6852,1.184326
6853,1.199707
6854,1.24585
6855,1.235596
6856,1.204834
6857,1.215088
6858,1.204834
6859,1.179199
6860,1.189453
6861,1.163818
6862,1.168945
6863,1.189453
6864,1.184326
6865,1.19458
6866,1.240723
6867,1.235596
6868,1.204834
6869,1.215088
6870,1.209961
6871,1.174072
6872,1.184326
6873,1.163818
6874,1.174072
6875,1.189453
6876,1.184326
6877,1.199707
6878,1.240723
6879,1.235596
6880,1.204834
6881,1.215088
6882,1.204834
6883,1.174072
6884,1.184326
6885,1.163818
6886,1.174072
6887,1.189453
6888,1.189453
6889,1.199707
6890,1.24585
6891,1.240723
6892,1.209961
6893,1.220215
6894,1.209961
6895,1.179199
6896,1.184326
6897,1.168945
6898,1.179199
6899,1.19458
6900,1.189453
6901,1.199707
6902,1.24585
6903,1.240723
6904,1.204834
6905,1.215088
